SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME,INDEX
NSE,C,14,INDEX,0,NIFTYFUTM3,1.0,,1979-12-31,-0.01,XX,0.25,W,INDEX,,,NIFTYFUTM3
NSE,C,5,INDEX,0,NIFTYFUTM1,1.0,,1979-12-31,-0.01,XX,0.25,W,INDEX,,,NIFTYFUTM1
NSE,C,2,INDEX,0,NIFTY,1.0,,1979-12-31,-0.01,XX,0.25,W,INDEX,,,NIFTY
NSE,C,13,INDEX,0,NIFTYFUTM2,1.0,,1979-12-31,-0.01,XX,0.25,W,INDEX,,,NIFTYFUTM2
BSE,D,860459,OPTIDX,0,SENSEX50-May2024-23850-PE,25.0,SENSEX50 30 MAY 23850 PUT,2024-05-30,23850.0,PE,5.0,M,OPTIDX,,SX50OPT,SENSEX50
BSE,D,860652,OPTIDX,0,SENSEX50-May2024-23750-CE,25.0,SENSEX50 30 MAY 23750 CALL,2024-05-30,23750.0,CE,5.0,M,OPTIDX,,SX50OPT,SENSEX50
NSE,D,56902,OPTIDX,0,NIFTY-May2024-22100-PE,25.0,NIFTY 30 MAY 22100 PUT,2024-05-30,22100.0,PE,5.0,M,OP,,,NIFTY
NSE,D,56903,OPTIDX,0,NIFTY-May2024-22150-CE,25.0,NIFTY 30 MAY 22150 CALL,2024-05-30,22150.0,CE,5.0,M,OP,,,NIFTY
NSE,D,56904,OPTIDX,0,NIFTY-May2024-22150-PE,25.0,NIFTY 30 MAY 22150 PUT,2024-05-30,22150.0,PE,5.0,M,OP,,,NIFTY
NSE,D,56905,OPTIDX,0,NIFTY-May2024-22200-CE,25.0,NIFTY 30 MAY 22200 CALL,2024-05-30,22200.0,CE,5.0,M,OP,,,NIFTY
NSE,D,56906,OPTIDX,0,NIFTY-May2024-22200-PE,25.0,NIFTY 30 MAY 22200 PUT,2024-05-30,22200.0,PE,5.0,M,OP,,,NIFTY
NSE,D,56907,OPTIDX,0,NIFTY-May2024-22250-CE,25.0,NIFTY 30 MAY 22250 CALL,2024-05-30,22250.0,CE,5.0,M,OP,,,NIFTY
NSE,D,56908,OPTIDX,0,NIFTY-May2024-22250-PE,25.0,NIFTY 30 MAY 22250 PUT,2024-05-30,22250.0,PE,5.0,M,OP,,,NIFTY
NSE,D,56909,OPTIDX,0,NIFTY-May2024-22300-CE,25.0,NIFTY 30 MAY 22300 CALL,2024-05-30,22300.0,CE,5.0,M,OP,,,NIFTY
NSE,D,56910,OPTIDX,0,NIFTY-May2024-22300-PE,25.0,NIFTY 30 MAY 22300 PUT,2024-05-30,22300.0,PE,5.0,M,OP,,,NIFTY
BSE,D,860493,OPTIDX,0,SENSEX50-May2024-22400-PE,25.0,SENSEX50 30 MAY 22400 PUT,2024-05-30,22400.0,PE,5.0,M,OPTIDX,,SX50OPT,SENSEX50
NSE,D,56911,OPTIDX,0,NIFTY-May2024-22350-CE,25.0,NIFTY 30 MAY 22350 CALL,2024-05-30,22350.0,CE,5.0,M,OP,,,NIFTY
BSE,D,860540,OPTIDX,0,SENSEX50-May2024-23100-CE,25.0,SENSEX50 30 MAY 23100 CALL,2024-05-30,23100.0,CE,5.0,M,OPTIDX,,SX50OPT,SENSEX50
