SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME,INDEX
NSE,D,37086,OPTIDX,0,FINNIFTY-Jun2024-25800-PE,40.0,FINNIFTY 11 JUN 25800 PUT,2024-06-11,25800.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,37081,OPTIDX,0,FINNIFTY-Jun2024-25800-CE,40.0,FINNIFTY 11 JUN 25800 CALL,2024-06-11,25800.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,37080,OPTIDX,0,FINNIFTY-Jun2024-25700-PE,40.0,FINNIFTY 11 JUN 25700 PUT,2024-06-11,25700.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36622,OPTIDX,0,FINNIFTY-Jun2024-22100-PE,40.0,FINNIFTY 11 JUN 22100 PUT,2024-06-11,22100.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36621,OPTIDX,0,FINNIFTY-Jun2024-22100-CE,40.0,FINNIFTY 11 JUN 22100 CALL,2024-06-11,22100.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,37064,OPTIDX,0,FINNIFTY-Jun2024-25700-CE,40.0,FINNIFTY 11 JUN 25700 CALL,2024-06-11,25700.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36620,OPTIDX,0,FINNIFTY-Jun2024-22050-PE,40.0,FINNIFTY 11 JUN 22050 PUT,2024-06-11,22050.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36609,OPTIDX,0,FINNIFTY-Jun2024-21950-PE,40.0,FINNIFTY 11 JUN 21950 PUT,2024-06-11,21950.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,37062,OPTIDX,0,FINNIFTY-Jun2024-25600-PE,40.0,FINNIFTY 11 JUN 25600 PUT,2024-06-11,25600.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,37058,OPTIDX,0,FINNIFTY-Jun2024-25500-PE,40.0,FINNIFTY 11 JUN 25500 PUT,2024-06-11,25500.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,37053,OPTIDX,0,FINNIFTY-Jun2024-25500-CE,40.0,FINNIFTY 11 JUN 25500 CALL,2024-06-11,25500.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36613,OPTIDX,0,FINNIFTY-Jun2024-22050-CE,40.0,FINNIFTY 11 JUN 22050 CALL,2024-06-11,22050.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36612,OPTIDX,0,FINNIFTY-Jun2024-22000-PE,40.0,FINNIFTY 11 JUN 22000 PUT,2024-06-11,22000.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36610,OPTIDX,0,FINNIFTY-Jun2024-22000-CE,40.0,FINNIFTY 11 JUN 22000 CALL,2024-06-11,22000.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,37047,OPTIDX,0,FINNIFTY-Jun2024-25400-PE,40.0,FINNIFTY 11 JUN 25400 PUT,2024-06-11,25400.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,37044,OPTIDX,0,FINNIFTY-Jun2024-25400-CE,40.0,FINNIFTY 11 JUN 25400 CALL,2024-06-11,25400.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,37043,OPTIDX,0,FINNIFTY-Jun2024-25300-PE,40.0,FINNIFTY 11 JUN 25300 PUT,2024-06-11,25300.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,37042,OPTIDX,0,FINNIFTY-Jun2024-25300-CE,40.0,FINNIFTY 11 JUN 25300 CALL,2024-06-11,25300.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,37059,OPTIDX,0,FINNIFTY-Jun2024-25600-CE,40.0,FINNIFTY 11 JUN 25600 CALL,2024-06-11,25600.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36995,OPTIDX,0,FINNIFTY-Jun2024-24500-CE,40.0,FINNIFTY 11 JUN 24500 CALL,2024-06-11,24500.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36994,OPTIDX,0,FINNIFTY-Jun2024-24400-PE,40.0,FINNIFTY 11 JUN 24400 PUT,2024-06-11,24400.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36990,OPTIDX,0,FINNIFTY-Jun2024-24400-CE,40.0,FINNIFTY 11 JUN 24400 CALL,2024-06-11,24400.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36505,OPTIDX,0,FINNIFTY-Jun2024-21200-CE,40.0,FINNIFTY 11 JUN 21200 CALL,2024-06-11,21200.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36503,OPTIDX,0,FINNIFTY-Jun2024-21150-PE,40.0,FINNIFTY 11 JUN 21150 PUT,2024-06-11,21150.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36502,OPTIDX,0,FINNIFTY-Jun2024-21150-CE,40.0,FINNIFTY 11 JUN 21150 CALL,2024-06-11,21150.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36495,OPTIDX,0,FINNIFTY-Jun2024-21100-PE,40.0,FINNIFTY 11 JUN 21100 PUT,2024-06-11,21100.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36492,OPTIDX,0,FINNIFTY-Jun2024-21100-CE,40.0,FINNIFTY 11 JUN 21100 CALL,2024-06-11,21100.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36485,OPTIDX,0,FINNIFTY-Jun2024-21050-PE,40.0,FINNIFTY 11 JUN 21050 PUT,2024-06-11,21050.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36483,OPTIDX,0,FINNIFTY-Jun2024-21050-CE,40.0,FINNIFTY 11 JUN 21050 CALL,2024-06-11,21050.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36482,OPTIDX,0,FINNIFTY-Jun2024-21000-PE,40.0,FINNIFTY 11 JUN 21000 PUT,2024-06-11,21000.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36478,OPTIDX,0,FINNIFTY-Jun2024-21000-CE,40.0,FINNIFTY 11 JUN 21000 CALL,2024-06-11,21000.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36477,OPTIDX,0,FINNIFTY-Jun2024-20950-PE,40.0,FINNIFTY 11 JUN 20950 PUT,2024-06-11,20950.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36506,OPTIDX,0,FINNIFTY-Jun2024-21200-PE,40.0,FINNIFTY 11 JUN 21200 PUT,2024-06-11,21200.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36470,OPTIDX,0,FINNIFTY-Jun2024-20950-CE,40.0,FINNIFTY 11 JUN 20950 CALL,2024-06-11,20950.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36468,OPTIDX,0,FINNIFTY-Jun2024-20900-CE,40.0,FINNIFTY 11 JUN 20900 CALL,2024-06-11,20900.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36775,OPTIDX,0,FINNIFTY-Jun2024-23000-PE,40.0,FINNIFTY 11 JUN 23000 PUT,2024-06-11,23000.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36442,OPTIDX,0,FINNIFTY-Jun2024-20850-PE,40.0,FINNIFTY 11 JUN 20850 PUT,2024-06-11,20850.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36441,OPTIDX,0,FINNIFTY-Jun2024-20850-CE,40.0,FINNIFTY 11 JUN 20850 CALL,2024-06-11,20850.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36437,OPTIDX,0,FINNIFTY-Jun2024-20800-PE,40.0,FINNIFTY 11 JUN 20800 PUT,2024-06-11,20800.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36436,OPTIDX,0,FINNIFTY-Jun2024-20800-CE,40.0,FINNIFTY 11 JUN 20800 CALL,2024-06-11,20800.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36435,OPTIDX,0,FINNIFTY-Jun2024-20750-PE,40.0,FINNIFTY 11 JUN 20750 PUT,2024-06-11,20750.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36434,OPTIDX,0,FINNIFTY-Jun2024-20750-CE,40.0,FINNIFTY 11 JUN 20750 CALL,2024-06-11,20750.0,CE,5.0,W,OP,,,FINNIFTY
NSE,D,36433,OPTIDX,0,FINNIFTY-Jun2024-20700-PE,40.0,FINNIFTY 11 JUN 20700 PUT,2024-06-11,20700.0,PE,5.0,W,OP,,,FINNIFTY
NSE,D,36432,OPTIDX,0,FINNIFTY-Jun2024-20700-CE,40.0,FINNIFTY 11 JUN 20700 CALL,2024-06-11,20700.0,CE,5.0,W,OP,,,FINNIFTY
